Rank,Player,Year,Age,Draft,Team,League,Games Played,Games Started,Years,Pro-Bowl Selections,First-Team All-Pro Selections,Approximate Value
1,Aaron Rodgers,2011,28,1-24,GNB,NFL,15,15,1,1,1,23
2,Tom Brady,2011,34,6-199,NWE,NFL,16,16,1,1,0,21
3,Drew Brees,2011,32,2-32,NOR,NFL,16,16,1,1,0,20
4,Patrick Peterson,2011,21,1-5,ARI,NFL,16,16,1,1,1,20
5,Jahri Evans,2011,28,4-108,NOR,NFL,16,16,1,1,1,19
6,Cam Newton,2011,22,1-1,CAR,NFL,16,16,1,1,0,19
7,Carl Nicks,2011,26,5-164,NOR,NFL,16,16,1,1,1,19
8,NaVorro Bowman,2011,23,3-91,SFO,NFL,16,16,1,0,1,18
9,Haloti Ngata,2011,27,1-12,BAL,NFL,16,16,1,1,1,18
10,Justin Smith,2011,32,1-4,SFO,NFL,16,16,1,1,1,18
11,Philip Rivers,2011,30,1-4,SDG,NFL,16,16,1,1,0,17
12,Terrell Suggs,2011,29,1-10,BAL,NFL,16,16,1,1,1,17
13,Wes Welker,2011,30,,NWE,NFL,16,15,1,1,1,17
14,Ray Rice,2011,24,2-55,BAL,NFL,16,16,1,1,0,16
15,Matthew Stafford,2011,23,1-1,DET,NFL,16,16,1,0,0,16
16,Scott Wells,2011,30,7-251,GNB,NFL,16,16,1,1,0,16
17,Patrick Willis,2011,26,1-11,SFO,NFL,13,13,1,1,1,16
18,Calvin Johnson,2011,26,1-2,DET,NFL,16,16,1,1,1,15
19,Derrick Johnson,2011,29,1-15,KAN,NFL,16,16,1,1,1,15
20,Ryan Kalil,2011,26,2-59,CAR,NFL,16,16,1,1,0,15
21,Logan Mankins,2011,29,1-32,NWE,NFL,15,15,1,1,0,15
22,Eli Manning,2011,30,1-1,NYG,NFL,16,16,1,1,0,15
23,Jordy Nelson,2011,26,2-36,GNB,NFL,16,9,1,0,0,15
24,Troy Polamalu,2011,30,1-16,PIT,NFL,16,16,1,1,1,15
25,Darrelle Revis,2011,26,1-14,NYJ,NFL,16,16,1,1,1,15
26,Matt Ryan,2011,26,1-3,ATL,NFL,16,16,1,0,0,15
27,DeMarcus Ware,2011,29,1-11,DAL,NFL,16,16,1,1,1,15
28,Jared Allen,2011,29,4-126,MIN,NFL,16,16,1,1,1,14
29,Geno Atkins,2011,23,4-120,CIN,NFL,16,15,1,1,0,14
30,Brian Cushing,2011,24,1-15,HOU,NFL,16,16,1,0,0,14
31,Rob Gronkowski,2011,22,2-42,NWE,NFL,16,16,1,1,1,14
32,Jason Pierre-Paul,2011,22,1-15,NYG,NFL,16,12,1,1,1,14
33,Carlos Rogers,2011,30,1-9,SFO,NFL,16,16,1,1,0,14
34,Steve Smith,2011,32,3-74,CAR,NFL,16,16,1,1,0,14
35,Jason Babin,2011,31,1-27,PHI,NFL,16,16,1,1,0,13
36,Duane Brown,2011,26,1-26,HOU,NFL,16,16,1,0,0,13
37,Jermon Bushrod,2011,27,4-125,NOR,NFL,16,16,1,1,0,13
38,Victor Cruz,2011,25,,NYG,NFL,16,7,1,0,0,13
39,Arian Foster,2011,25,,HOU,NFL,13,13,1,1,0,13
40,Jimmy Graham,2011,25,3-95,NOR,NFL,16,11,1,1,0,13
41,Maurice Jones-Drew,2011,26,2-60,JAX,NFL,16,16,1,1,1,13
42,Johnathan Joseph,2011,27,1-24,HOU,NFL,15,15,1,1,0,13
43,Ryan Mathews,2011,24,1-12,SDG,NFL,14,14,1,1,0,13
44,Jason Peters,2011,29,,PHI,NFL,14,14,1,1,1,13
45,Tony Romo,2011,31,,DAL,NFL,16,16,1,0,0,13
46,Alex Smith,2011,27,1-1,SFO,NFL,16,16,1,0,0,13
47,Darren Sproles,2011,28,4-130,NOR,NFL,16,4,1,0,0,13
48,Joe Staley,2011,27,1-28,SFO,NFL,16,16,1,1,0,13
49,Michael Vick,2011,31,1-1,PHI,NFL,13,13,1,0,0,13
50,Cameron Wake,2011,29,,MIA,NFL,16,14,1,0,0,13
51,Brian Waters,2011,34,,NWE,NFL,16,16,1,1,0,13
52,Roddy White,2011,30,1-27,ATL,NFL,16,16,1,1,0,13
