Rank,Player,Year,Age,Draft,Team,League,Games Played,Games Started,Years,Pro-Bowl Selections,First-Team All-Pro Selections,Approximate Value
1,LaDainian Tomlinson,2006,27,1-5,SDG,NFL,16,16,1,1,1,26
2,Peyton Manning,2006,30,1-1,IND,NFL,16,16,1,1,0,20
3,Steven Jackson,2006,23,1-24,STL,NFL,16,16,1,1,0,19
4,Tiki Barber,2006,31,2-36,NYG,NFL,16,16,1,1,0,18
5,Rashean Mathis,2006,26,2-39,JAX,NFL,16,16,1,1,1,18
6,Philip Rivers,2006,25,1-4,SDG,NFL,16,16,1,1,0,18
7,Jason Taylor,2006,32,3-73,MIA,NFL,16,16,1,1,1,18
8,Adalius Thomas,2006,29,6-186,BAL,NFL,16,16,1,1,1,18
9,Brian Urlacher,2006,28,1-9,CHI,NFL,16,16,1,1,1,18
10,Kevin Williams,2006,26,1-9,MIN,NFL,16,16,1,1,1,18
11,Shawn Andrews,2006,24,1-16,PHI,NFL,16,16,1,1,1,17
12,Marvin Harrison,2006,34,1-19,IND,NFL,16,16,1,1,1,17
13,Larry Johnson,2006,27,1-27,KAN,NFL,16,16,1,1,1,17
14,Julius Peppers,2006,26,1-2,CAR,NFL,16,16,1,1,1,17
15,Jeff Saturday,2006,31,,IND,NFL,16,16,1,1,0,17
16,Reggie Wayne,2006,28,1-30,IND,NFL,16,16,1,1,0,17
17,Champ Bailey,2006,28,1-7,DEN,NFL,16,16,1,1,1,16
18,Lance Briggs,2006,26,3-68,CHI,NFL,16,16,1,1,0,16
19,Frank Gore,2006,23,3-65,SFO,NFL,16,16,1,1,0,16
20,Joseph Addai,2006,23,1-30,IND,NFL,16,0,1,0,0,15
21,Willie Anderson,2006,31,1-10,CIN,NFL,16,16,1,1,1,15
22,Drew Brees,2006,27,2-32,NOR,NFL,16,16,1,1,1,15
23,Jammal Brown,2006,25,1-13,NOR,NFL,15,15,1,1,1,15
24,Marc Bulger,2006,29,6-168,STL,NFL,16,16,1,1,0,15
25,Alan Faneca,2006,30,1-26,PIT,NFL,16,16,1,1,1,15
26,John Henderson,2006,27,1-9,JAX,NFL,16,16,1,1,0,15
27,Olin Kreutz,2006,29,3-64,CHI,NFL,16,16,1,1,1,15
28,Carson Palmer,2006,27,1-1,CIN,NFL,16,16,1,1,0,15
29,Ed Reed,2006,28,1-24,BAL,NFL,16,16,1,1,1,15
30,Bart Scott,2006,26,,BAL,NFL,16,16,1,1,0,15
31,Richard Seymour,2006,27,1-6,NWE,NFL,16,15,1,1,0,15
32,Zach Thomas,2006,33,5-154,MIA,NFL,16,16,1,1,1,15
33,Michael Vick,2006,26,1-1,ATL,NFL,16,16,1,0,0,15
34,Brian Westbrook,2006,27,3-91,PHI,NFL,15,14,1,0,0,15
35,Tom Brady,2006,29,6-199,NWE,NFL,16,16,1,0,0,14
36,Antonio Gates,2006,26,,SDG,NFL,16,16,1,1,1,14
37,Tarik Glenn,2006,30,1-19,IND,NFL,16,16,1,1,0,14
38,Devin Hester,2006,24,2-57,CHI,NFL,16,0,1,1,1,14
39,Chad Johnson,2006,28,2-36,CIN,NFL,16,16,1,1,1,14
40,Jamal Williams,2006,30,2-2,SDG,NFL,16,16,1,1,1,14
41,Flozell Adams,2006,31,2-38,DAL,NFL,16,16,1,1,0,13
42,Brian Dawkins,2006,33,2-61,PHI,NFL,16,16,1,1,1,13
43,Andre Gurode,2006,28,2-37,DAL,NFL,16,16,1,1,0,13
44,Nick Hardwick,2006,25,3-66,SDG,NFL,16,16,1,1,0,13
45,Maurice Jones-Drew,2006,21,2-60,JAX,NFL,16,1,1,0,0,13
46,Aaron Kampman,2006,27,5-156,GNB,NFL,16,16,1,1,0,13
47,Jon Kitna,2006,34,,DET,NFL,16,16,1,0,0,13
48,Matt Light,2006,28,2-48,NWE,NFL,16,16,1,1,0,13
49,Marcus McNeill,2006,23,2-50,SDG,NFL,16,16,1,1,0,13
50,Terrell Owens,2006,33,3-89,DAL,NFL,16,15,1,0,0,13
51,Aaron Schobel,2006,29,2-46,BUF,NFL,16,16,1,1,0,13
52,Terrell Suggs,2006,24,1-10,BAL,NFL,16,15,1,1,0,13
53,Nnamdi Asomugha,2006,25,1-31,OAK,NFL,15,15,1,0,0,12
54,Ronde Barber,2006,31,3-66,TAM,NFL,16,16,1,1,0,12
55,Ladell Betts,2006,27,2-56,WAS,NFL,16,9,1,0,0,12
56,Reggie Bush,2006,21,1-2,NOR,NFL,16,8,1,0,0,12
57,Ray Lewis,2006,31,1-26,BAL,NFL,14,14,1,1,0,12
58,Chris McAlister,2006,29,1-10,BAL,NFL,16,16,1,1,0,12
59,Shawne Merriman,2006,22,1-12,SDG,NFL,12,12,1,1,1,12
60,Willie Parker,2006,26,,PIT,NFL,16,16,1,1,0,12
61,Chad Pennington,2006,30,1-18,NYJ,NFL,16,16,1,0,0,12
62,Tony Romo,2006,26,,DAL,NFL,16,10,1,1,0,12
63,Will Shields,2006,35,3-74,KAN,NFL,16,16,1,1,0,12
64,Fred Taylor,2006,30,1-9,JAX,NFL,15,15,1,0,0,12
65,Javon Walker,2006,28,1-20,DEN,NFL,16,16,1,0,0,12
66,Al Wilson,2006,29,1-31,DEN,NFL,15,15,1,1,0,12
67,Jared Allen,2006,24,4-126,KAN,NFL,16,16,1,0,0,11
68,Anquan Boldin,2006,26,2-54,ARI,NFL,16,16,1,1,0,11
69,Isaac Bruce,2006,34,2-33,STL,NFL,16,13,1,0,0,11
70,Plaxico Burress,2006,29,1-8,NYG,NFL,15,15,1,0,0,11
71,Laveranues Coles,2006,29,3-78,NYJ,NFL,16,16,1,0,0,11
72,Lee Evans,2006,25,1-13,BUF,NFL,16,15,1,0,0,11
73,Terry Glenn,2006,32,1-7,DAL,NFL,15,14,1,0,0,11
74,DeAngelo Hall,2006,23,1-8,ATL,NFL,16,16,1,1,0,11
75,Torry Holt,2006,30,1-6,STL,NFL,16,16,1,1,0,11
76,T.J. Houshmandzadeh,2006,29,7-204,CIN,NFL,14,13,1,0,0,11
77,Andre Johnson,2006,25,1-3,HOU,NFL,16,16,1,1,0,11
78,Rudi Johnson,2006,27,4-100,CIN,NFL,16,15,1,0,0,11
79,Walter Jones,2006,32,1-6,SEA,NFL,16,16,1,1,0,11
80,Ben Leber,2006,28,3-71,MIN,NFL,15,10,1,0,0,11
81,Eli Manning,2006,25,1-1,NYG,NFL,16,16,1,0,0,11
82,Julian Peterson,2006,28,1-16,SEA,NFL,16,16,1,1,0,11
83,Kerry Rhodes,2006,24,4-123,NYJ,NFL,16,16,1,0,0,11
84,Ben Roethlisberger,2006,24,1-11,PIT,NFL,15,15,1,0,0,11
85,Asante Samuel,2006,25,4-120,NWE,NFL,15,15,1,0,0,11
86,Chris Samuels,2006,29,1-3,WAS,NFL,16,16,1,1,0,11
87,Jake Scott,2006,25,5-141,IND,NFL,16,16,1,0,0,11
88,DeMarcus Ware,2006,24,1-11,DAL,NFL,16,16,1,1,0,11
89,Ty Warren,2006,25,1-13,NWE,NFL,15,15,1,0,0,11
90,Pat Williams,2006,34,,MIN,NFL,16,16,1,1,0,11
91,Roy Williams,2006,25,1-7,DET,NFL,16,16,1,1,0,11
92,Derrick Brooks,2006,33,1-28,TAM,NFL,16,16,1,1,0,10
93,Alex Brown,2006,27,4-104,CHI,NFL,16,16,1,0,0,10
94,Ruben Brown,2006,34,1-14,CHI,NFL,16,16,1,1,0,10
95,Derrick Burgess,2006,28,3-63,OAK,NFL,16,16,1,1,0,10
96,David Carr,2006,27,1-1,HOU,NFL,16,16,1,0,0,10
97,Marc Colombo,2006,28,1-29,DAL,NFL,16,16,1,0,0,10
98,Marques Colston,2006,23,7-252,NOR,NFL,14,12,1,0,0,10
99,Jerricho Cotchery,2006,24,4-108,NYJ,NFL,16,16,1,0,0,10
100,Ryan Diem,2006,27,4-118,IND,NFL,15,15,1,0,0,10
101,London Fletcher,2006,31,,BUF,NFL,16,16,1,0,0,10
102,Mike Goff,2006,30,3-78,SDG,NFL,16,16,1,0,0,10
103,Kelly Gregg,2006,30,6-173,BAL,NFL,16,16,1,0,0,10
104,Rex Grossman,2006,26,1-22,CHI,NFL,16,16,1,0,0,10
105,Casey Hampton,2006,29,1-19,PIT,NFL,15,15,1,1,0,10
106,E.J. Henderson,2006,26,2-40,MIN,NFL,16,16,1,0,0,10
107,Kris Jenkins,2006,27,2-44,CAR,NFL,16,16,1,1,0,10
108,Julius Jones,2006,25,2-43,DAL,NFL,16,16,1,0,0,10
109,Dan Koppen,2006,27,5-164,NWE,NFL,16,16,1,0,0,10
110,Kyle Kosier,2006,28,7-248,DAL,NFL,16,16,1,0,0,10
111,J.P. Losman,2006,25,1-22,BUF,NFL,16,16,1,0,0,10
112,Logan Mankins,2006,24,1-32,NWE,NFL,16,16,1,0,0,10
113,Vince Manuwai,2006,26,3-72,JAX,NFL,16,16,1,0,0,10
114,Deuce McAllister,2006,28,1-23,NOR,NFL,15,13,1,0,0,10
115,Donovan McNabb,2006,30,1-2,PHI,NFL,10,10,1,0,0,10
116,Steve McNair,2006,33,1-3,BAL,NFL,16,16,1,0,0,10
117,Brad Meester,2006,29,2-60,JAX,NFL,16,16,1,0,0,10
118,Chris Naeole,2006,32,1-10,JAX,NFL,16,16,1,0,0,10
119,Jonathan Ogden,2006,32,1-4,BAL,NFL,14,14,1,1,0,10
120,Shane Olivea,2006,25,7-209,SDG,NFL,16,16,1,0,0,10
121,Eric Parker,2006,27,,SDG,NFL,15,12,1,0,0,10
