Rank,Player,Year,Age,Draft,Team,League,Games Played,Games Started,Years,Pro-Bowl Selections,First-Team All-Pro Selections,Approximate Value
1,Marshall Faulk,2001,28,1-2,STL,NFL,14,14,1,1,1,22
2,Brian Urlacher,2001,23,1-9,CHI,NFL,16,16,1,1,1,21
3,Jimmy Smith,2001,32,2-36,JAX,NFL,16,16,1,1,0,20
4,Kurt Warner,2001,30,,STL,NFL,16,16,1,1,1,20
5,Jason Gildon,2001,29,3-88,PIT,NFL,16,16,1,1,1,19
6,Ray Lewis,2001,26,1-26,BAL,NFL,16,16,1,1,1,19
7,Ted Washington,2001,33,1-25,CHI,NFL,16,15,1,1,1,19
8,Jeff Garcia,2001,31,,SFO,NFL,16,16,1,1,0,18
9,Terrell Owens,2001,28,3-89,SFO,NFL,16,16,1,1,1,18
10,Orlando Pace,2001,26,1-1,STL,NFL,16,16,1,1,1,18
11,Jeremiah Trotter,2001,24,3-72,PHI,NFL,16,16,1,1,0,18
12,Mike Brown,2001,23,2-39,CHI,NFL,16,16,1,0,1,17
13,Rich Gannon,2001,36,4-98,OAK,NFL,16,16,1,1,0,17
14,Ahman Green,2001,24,3-76,GNB,NFL,16,16,1,1,0,17
15,Priest Holmes,2001,28,,KAN,NFL,16,16,1,1,1,17
16,Jamir Miller,2001,28,1-10,CLE,NFL,16,16,1,1,1,17
17,Michael Strahan,2001,30,2-40,NYG,NFL,16,16,1,1,1,17
18,John Abraham,2001,23,1-13,NYJ,NFL,16,15,1,1,1,16
19,Kendrell Bell,2001,23,2-39,PIT,NFL,16,16,1,1,0,16
20,Troy Brown,2001,30,8-198,NWE,NFL,16,13,1,1,0,16
21,Garrison Hearst,2001,30,1-3,SFO,NFL,16,16,1,1,0,16
22,Torry Holt,2001,25,1-6,STL,NFL,16,14,1,1,0,16
23,Aeneas Williams,2001,33,3-59,STL,NFL,16,16,1,1,1,16
24,Ronde Barber,2001,26,3-66,TAM,NFL,16,16,1,1,1,15
25,Aaron Brooks,2001,25,4-131,NOR,NFL,16,16,1,0,0,15
26,Ray Brown,2001,39,8-201,SFO,NFL,16,16,1,1,0,15
27,Brian Dawkins,2001,28,2-61,PHI,NFL,15,15,1,1,1,15
28,Brett Favre,2001,32,2-33,GNB,NFL,16,16,1,1,0,15
29,Marvin Harrison,2001,29,1-19,IND,NFL,16,16,1,1,0,15
30,Peyton Manning,2001,25,1-1,IND,NFL,16,16,1,0,0,15
31,Curtis Martin,2001,28,3-74,NYJ,NFL,16,16,1,1,0,15
32,Warren Sapp,2001,29,1-12,TAM,NFL,16,16,1,1,1,15
33,Rod Smith,2001,31,,DEN,NFL,15,14,1,1,0,15
34,Kordell Stewart,2001,29,2-60,PIT,NFL,16,16,1,1,0,15
35,Jason Taylor,2001,27,3-73,MIA,NFL,16,16,1,0,0,15
36,Adam Timmerman,2001,30,7-230,STL,NFL,16,16,1,1,0,15
37,Troy Vincent,2001,30,1-7,PHI,NFL,15,15,1,1,0,15
38,David Boston,2001,23,1-8,ARI,NFL,16,15,1,1,1,14
39,Tim Brown,2001,35,1-6,OAK,NFL,16,16,1,1,0,14
40,Alan Faneca,2001,25,1-26,PIT,NFL,15,15,1,1,1,14
41,Kevin Mawae,2001,30,2-36,NYJ,NFL,16,16,1,1,1,14
42,Donovan McNabb,2001,25,1-2,PHI,NFL,16,16,1,1,0,14
43,Ricky Williams,2001,24,1-5,NOR,NFL,16,16,1,0,0,14
44,LaVar Arrington,2001,23,1-2,WAS,NFL,14,14,1,1,0,13
45,Isaac Bruce,2001,29,2-33,STL,NFL,16,16,1,1,0,13
46,Hugh Douglas,2001,30,1-16,PHI,NFL,15,15,1,1,0,13
47,Jay Fiedler,2001,30,,MIA,NFL,16,16,1,0,0,13
48,Charlie Garner,2001,29,2-42,OAK,NFL,16,16,1,0,0,13
49,Trent Green,2001,31,8-222,KAN,NFL,16,16,1,0,0,13
50,Keyshawn Johnson,2001,29,1-1,TAM,NFL,15,15,1,1,0,13
51,Walter Jones,2001,27,1-6,SEA,NFL,16,16,1,1,1,13
52,Lincoln Kennedy,2001,30,1-9,OAK,NFL,15,15,1,1,0,13
53,Steve McNair,2001,28,1-3,TEN,NFL,15,15,1,0,0,13
54,Zach Thomas,2001,28,5-154,MIA,NFL,15,15,1,1,0,13
55,Bryant Young,2001,29,1-7,SFO,NFL,16,16,1,1,0,13
56,Shaun Alexander,2001,24,1-19,SEA,NFL,16,12,1,0,0,12
57,Tom Brady,2001,24,6-199,NWE,NFL,15,14,1,1,0,12
58,Derrick Brooks,2001,28,1-28,TAM,NFL,16,16,1,1,0,12
59,Mark Brunell,2001,31,5-118,JAX,NFL,15,15,1,0,0,12
60,Jeff Hartings,2001,29,1-23,PIT,NFL,16,16,1,0,0,12
61,Joe Horn,2001,29,5-135,NOR,NFL,16,16,1,1,0,12
62,Brad Johnson,2001,33,9-227,TAM,NFL,16,16,1,0,0,12
63,Jeremy Newberry,2001,25,2-58,SFO,NFL,15,15,1,1,0,12
64,Jake Plummer,2001,27,2-42,ARI,NFL,16,16,1,0,0,12
65,Dominic Rhodes,2001,22,,IND,NFL,15,10,1,0,0,12
66,Jerry Rice,2001,39,1-16,OAK,NFL,16,15,1,0,0,12
67,Antowain Smith,2001,29,1-23,NWE,NFL,16,15,1,0,0,12
68,Marcellus Wiley,2001,27,2-52,SDG,NFL,14,14,1,1,0,12
69,James Williams,2001,33,,CHI,NFL,16,16,1,1,0,12
70,Larry Allen,2001,30,2-46,DAL,NFL,16,16,1,1,1,11
71,Marty Booker,2001,25,3-78,CHI,NFL,16,16,1,0,0,11
