Rank,Player,Year,Age,Draft,Team,League,Games Played,Games Started,Years,Pro-Bowl Selections,First-Team All-Pro Selections,Approximate Value
1,Priest Holmes,2002,29,,KAN,NFL,14,14,1,1,1,23
2,Derrick Brooks,2002,29,1-28,TAM,NFL,16,16,1,1,1,22
3,Simeon Rice,2002,28,1-3,TAM,NFL,16,16,1,1,1,21
4,Warren Sapp,2002,30,1-12,TAM,NFL,16,16,1,1,1,21
5,Rich Gannon,2002,37,4-98,OAK,NFL,16,16,1,1,1,18
6,Trent Green,2002,32,8-222,KAN,NFL,16,16,1,0,0,18
7,Julian Peterson,2002,24,1-16,SFO,NFL,16,16,1,1,0,18
8,Ricky Williams,2002,25,1-5,MIA,NFL,16,16,1,1,1,18
9,Hugh Douglas,2002,31,1-16,PHI,NFL,16,16,1,1,0,17
10,Charlie Garner,2002,30,2-42,OAK,NFL,16,15,1,0,0,17
11,Kris Jenkins,2002,23,2-44,CAR,NFL,16,16,1,1,1,17
12,Will Shields,2002,31,3-74,KAN,NFL,16,16,1,1,1,17
13,Michael Vick,2002,22,1-1,ATL,NFL,15,15,1,1,0,17
14,Aaron Brooks,2002,26,4-131,NOR,NFL,16,16,1,0,0,16
15,Daunte Culpepper,2002,25,1-11,MIN,NFL,16,16,1,0,0,16
16,La'Roi Glover,2002,28,5-166,DAL,NFL,16,16,1,1,0,16
17,Marvin Harrison,2002,30,1-19,IND,NFL,16,16,1,1,1,16
18,Deuce McAllister,2002,24,1-23,NOR,NFL,15,15,1,1,0,16
19,Joey Porter,2002,25,3-73,PIT,NFL,16,16,1,1,1,16
20,Barret Robbins,2002,29,2-49,OAK,NFL,16,16,1,1,1,16
21,Michael Strahan,2002,31,2-40,NYG,NFL,16,16,1,1,0,16
22,Troy Vincent,2002,31,1-7,PHI,NFL,15,15,1,1,1,16
23,Ronde Barber,2002,27,3-66,TAM,NFL,16,16,1,0,0,15
24,Keith Bulluck,2002,25,1-30,TEN,NFL,16,16,1,0,0,15
25,Brian Dawkins,2002,29,2-61,PHI,NFL,16,16,1,1,1,15
26,Alan Faneca,2002,26,1-26,PIT,NFL,16,16,1,1,1,15
27,Jeff Garcia,2002,32,,SFO,NFL,16,16,1,1,0,15
28,Joe Horn,2002,30,5-135,NOR,NFL,16,16,1,1,0,15
29,Lincoln Kennedy,2002,31,1-9,OAK,NFL,15,15,1,1,1,15
30,Steve McNair,2002,29,1-3,TEN,NFL,16,16,1,0,0,15
31,Terrell Owens,2002,29,3-89,SFO,NFL,14,14,1,1,1,15
32,Clinton Portis,2002,21,2-51,DEN,NFL,16,12,1,0,0,15
33,Willie Roaf,2002,32,1-8,KAN,NFL,16,16,1,1,0,15
34,Jason Taylor,2002,28,3-73,MIA,NFL,16,16,1,1,1,15
35,LaDainian Tomlinson,2002,23,1-5,SDG,NFL,16,16,1,1,0,15
36,Tiki Barber,2002,27,2-36,NYG,NFL,16,15,1,0,0,14
37,Drew Bledsoe,2002,30,1-1,BUF,NFL,16,16,1,1,0,14
38,Keith Brooking,2002,27,1-12,ATL,NFL,16,16,1,1,0,14
