Rank,Player,Year,Age,Draft,Team,League,Games Played,Games Started,Years,Pro-Bowl Selections,First-Team All-Pro Selections,Approximate Value
1,David Harris,2009,25,2-47,NYJ,NFL,16,16,1,0,0,21
2,Darrelle Revis,2009,24,1-14,NYJ,NFL,16,16,1,1,1,21
3,Chris Johnson,2009,24,1-24,TEN,NFL,16,16,1,1,1,19
4,Philip Rivers,2009,28,1-4,SDG,NFL,16,16,1,1,0,19
5,Aaron Rodgers,2009,26,1-24,GNB,NFL,16,16,1,1,0,19
6,Patrick Willis,2009,24,1-11,SFO,NFL,16,16,1,1,1,19
7,Jahri Evans,2009,26,4-108,NOR,NFL,16,16,1,1,1,18
8,Jay Ratliff,2009,28,7-224,DAL,NFL,16,16,1,1,1,18
9,Ray Rice,2009,22,2-55,BAL,NFL,16,15,1,1,0,18
10,Steve Hutchinson,2009,32,1-17,MIN,NFL,16,16,1,1,1,17
11,Peyton Manning,2009,33,1-1,IND,NFL,16,16,1,1,1,17
12,Jared Allen,2009,27,4-126,MIN,NFL,16,16,1,1,1,16
13,Tom Brady,2009,32,6-199,NWE,NFL,16,16,1,1,0,16
14,Drew Brees,2009,30,2-32,NOR,NFL,15,15,1,1,0,16
15,Kris Dielman,2009,28,,SDG,NFL,16,16,1,1,0,16
16,Shaun Ellis,2009,32,1-12,NYJ,NFL,15,15,1,1,0,16
17,Brett Favre,2009,40,2-33,MIN,NFL,16,16,1,1,0,16
18,Ray Lewis,2009,34,1-26,BAL,NFL,16,16,1,1,1,16
19,Logan Mankins,2009,27,1-32,NWE,NFL,16,16,1,1,0,16
20,Adrian Peterson,2009,24,1-7,MIN,NFL,16,15,1,1,1,16
21,Sione Pouha,2009,30,3-88,NYJ,NFL,16,14,1,0,0,16
22,DeMarcus Ware,2009,27,1-11,DAL,NFL,16,15,1,1,1,16
23,Charles Woodson,2009,33,1-4,GNB,NFL,16,16,1,1,1,16
24,Jon Beason,2009,24,1-25,CAR,NFL,16,16,1,1,0,15
25,Elvis Dumervil,2009,25,4-126,DEN,NFL,16,14,1,1,1,15
26,Leon Hall,2009,25,1-18,CIN,NFL,16,16,1,0,0,15
27,Julius Peppers,2009,29,1-2,CAR,NFL,16,14,1,1,0,15
28,Matt Schaub,2009,28,3-90,HOU,NFL,16,16,1,1,0,15
29,Darnell Dockett,2009,28,3-64,ARI,NFL,16,16,1,1,0,14
30,Antonio Gates,2009,29,,SDG,NFL,16,16,1,1,0,14
31,James Harrison,2009,31,,PIT,NFL,16,16,1,1,0,14
32,DeSean Jackson,2009,23,2-49,PHI,NFL,15,15,1,1,0,14
33,Vincent Jackson,2009,26,2-61,SDG,NFL,15,15,1,1,0,14
34,Andre Johnson,2009,28,1-3,HOU,NFL,16,16,1,1,1,14
35,Sidney Rice,2009,23,2-44,MIN,NFL,16,14,1,1,0,14
36,Ben Roethlisberger,2009,27,1-11,PIT,NFL,15,15,1,0,0,14
37,Tony Romo,2009,29,,DAL,NFL,16,16,1,1,0,14
38,Reggie Wayne,2009,31,1-30,IND,NFL,16,16,1,1,0,14
39,Wes Welker,2009,28,,NWE,NFL,14,13,1,1,1,14
40,Kevin Williams,2009,29,1-9,MIN,NFL,16,16,1,1,1,14
41,LaMarr Woodley,2009,25,2-46,PIT,NFL,16,16,1,1,0,14
42,Ryan Clady,2009,23,1-12,DEN,NFL,16,16,1,1,1,13
43,Joe Flacco,2009,24,1-18,BAL,NFL,16,16,1,0,0,13
44,David Garrard,2009,31,4-108,JAX,NFL,16,16,1,1,0,13
45,Maurice Jones-Drew,2009,24,2-60,JAX,NFL,16,16,1,1,0,13
46,Jake Long,2009,24,1-1,MIA,NFL,16,16,1,1,0,13
47,Eli Manning,2009,28,1-1,NYG,NFL,16,16,1,0,0,13
48,Donovan McNabb,2009,33,1-2,PHI,NFL,14,14,1,1,0,13
